chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,borrower,caller,assets,amounts,market_id
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800000,2025-06-28 02:38:47,2dd284ab205270d4c241976383f65c8e750e49a65b141164e21aaa61ccbf1946,aa934be77c37319816051c830b0c9b6ed3fd940660e08eaa13c43d9f351176fc,103,358,,0x43e1CCFE765f6C2a09bbe63D456BCB1e85835fe5,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,150000000000,,0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,3703012711a48b33cc4f18e395c407927884c7a9854f4d54749d907eb41c9faa,61,250,,0x722B99ceC8Fa4d635fAd6c94659Db034b846dFbd,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,18918068063,,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800090,2025-06-28 02:56:47,2423b347b894c418fc2b6b2be4641cb690367ffec5de768e06cc5aaa387a0307,69186f79a131d59d5fca013e24c36ce5dba123c7b971f23fea197268d61799ac,70,260,,0x722B99ceC8Fa4d635fAd6c94659Db034b846dFbd,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,16153206216,,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800103,2025-06-28 02:59:23,11c2e5a4138b9330b147daeba2ad1b52bc9d059c3baf0c30283fa5523dd9a42b,37a1d9442125c3a1825d5e03cd4d3b0ebf029e73e9a0c30980abee19e89b9031,6,71,,0x571734aC483BF9DbE9F8890adC96F66dB8ca677c,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,1600000000,,0xbed987dd46049adb1ff34de8ef761a9da3b08890fa7fff629ea9b66d049de823
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800125,2025-06-28 03:03:47,784b6c29489777bea070fcb7f52ac5e23788510ba199945e2075b2189305af99,5463682fd1a1f8ef0cd27c0d75edbce7ba785e599e8ad703a1a0dc95435fa926,236,672,,0xBf6D2A1e5C16bBcd455a9100684a10cee204fC0c,0xBf6D2A1e5C16bBcd455a9100684a10cee204fC0c,300000000000,,0xef2c308b5abecf5c8750a1aa82b47c558005feb7a03f4f8e1ad682d71ac8d0ba
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800161,2025-06-28 03:10:59,bcc98efb194af8eb2739314da83c47f1664e05faa1503d2a03c13a0c6be38a52,7a47e0171dd4987723c182f62955756aab83d406509c1d05f59732b4e13d3f52,77,214,,0x41352664336AAD31E6Bf5aC4f1970F9C28c2CD71,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,7590000,,0x7aae9136d142aa7ec2a3ad155fb42489ed7ed93a74c589eb1643916ae19f0833
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800236,2025-06-28 03:26:11,a4ddc775a686357a5dc150c4df68b6fde57b90e8f065e652e49a4bb4d0b3f47c,79d3b41cc160d83bcef6a060bd5dcd9e60108ace02453e25ad40029e0ef894eb,83,239,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,10043309992320113423568,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800244,2025-06-28 03:27:47,ac5d34478065b05220bb65ce92f3dd5a0838872c726c2b1b451b77fc6f15b30e,c3306afa9b57b3439fcd6cbf46d2a82f193862579e6560b20eafc11c7b8bac27,159,530,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,8730145768907055278863,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800262,2025-06-28 03:31:23,d102407a5d6a2299c8368b8cee0f345e7bec8b79f84f55ba4c2e27f8cbfa4ee9,520ca4925d48bf10caab335647c53e628c7f937654b0c9b898d5f2ad360c4adb,0,23,,0x38019cc77e8FEa376BFf152ba0516c89a2F37a62,0x38019cc77e8FEa376BFf152ba0516c89a2F37a62,1693942911455538563,,0xd2630c0ebf33ba83c82e8cd400a8e6345370238ca695ce58773b2d3e43de1b0a
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800266,2025-06-28 03:32:11,ae696a1fb7ef64c3936044795b6260c669241e54aaf8d0d007f715e8d1d5bd6d,fed23f16777e6a24b40e46c94b3d854a7177523de3ef510a7c17783a8ca4cf7d,96,251,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,5588666280092334955147,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c
