chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,borrower,caller,assets,amounts,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
base,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000224,2025-01-13 17:36:35,6c87b95cd6bfd1c43951c7f1cb19c48eadfd9f252cc985ef5a93907f9a30851a,c99929d150589cf8a422a095dd609ef5862df527c31fa474f68fb4a92ba0f9b5,759,991,,0xb52334e332DeB38f7381266dC86533D2A7B354c0,0x23055618898e202386e6c13955a58D3C68200BFB,8392294,,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,8.392294,0.99984180004272,8.390966339447719
base,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000256,2025-01-13 17:37:39,936e5ca70b8e9c61986b0ba2016da06ced542b005992ac5b34ce63f3d3ddac76,f0f85fd9e0eecd0148d8f40774dc58e0945604e821135275c72a13d7a6cd480a,297,274,,0x3eFEc9925973AFe87CBFE219DFE31fbBA4266369,0x23055618898e202386e6c13955a58D3C68200BFB,6000000000,,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,6000.0,0.99984180004272,5999.05080025632
base,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000513,2025-01-13 17:46:13,acaf17d8496ca9d01f9207ed9bdafe3b99ec2d1ffdb7b69403bf14d67ef654e6,e26b0fa52210a4823145a99352ac8533d1873d84673ffc9483d4c6c98b448083,63,143,,0xb52334e332DeB38f7381266dC86533D2A7B354c0,0x23055618898e202386e6c13955a58D3C68200BFB,6000000,,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,6.0,0.99984180004272,5.99905080025632
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800000,2025-06-28 02:38:47,2dd284ab205270d4c241976383f65c8e750e49a65b141164e21aaa61ccbf1946,aa934be77c37319816051c830b0c9b6ed3fd940660e08eaa13c43d9f351176fc,103,358,,0x43e1CCFE765f6C2a09bbe63D456BCB1e85835fe5,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,150000000000,,0x3a85e619751152991742810df6ec69ce473daef99e28a64ab2340d7b7ccfee49,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,USDC,WBTC,6,150000.0,0.9997649620685616,149964.74431028424
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800041,2025-06-28 02:46:59,4219fddba910c2f4939c5d6c8f91cf0ea6a14250a11dcda32c20e4d21fa11b05,3703012711a48b33cc4f18e395c407927884c7a9854f4d54749d907eb41c9faa,61,250,,0x722B99ceC8Fa4d635fAd6c94659Db034b846dFbd,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,18918068063,,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,USDC,PT-iUSD-4SEP2025,6,18918.068063,0.9997649620685616,18913.62159941566
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800090,2025-06-28 02:56:47,2423b347b894c418fc2b6b2be4641cb690367ffec5de768e06cc5aaa387a0307,69186f79a131d59d5fca013e24c36ce5dba123c7b971f23fea197268d61799ac,70,260,,0x722B99ceC8Fa4d635fAd6c94659Db034b846dFbd,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,16153206216,,0x3a3b0aab54883f5b2561d8327fbe234142db4f50f87574cd07daf2ed3fbee01a,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x5f2F6324AA5590e408BA892e39ceC4C0afB16068,USDC,PT-iUSD-4SEP2025,6,16153.206216,0.9997649620685616,16149.409599824894
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800103,2025-06-28 02:59:23,11c2e5a4138b9330b147daeba2ad1b52bc9d059c3baf0c30283fa5523dd9a42b,37a1d9442125c3a1825d5e03cd4d3b0ebf029e73e9a0c30980abee19e89b9031,6,71,,0x571734aC483BF9DbE9F8890adC96F66dB8ca677c,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,1600000000,,0xbed987dd46049adb1ff34de8ef761a9da3b08890fa7fff629ea9b66d049de823,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xc8CF6D7991f15525488b2A83Df53468D682Ba4B0,USDC,sUSDf,6,1600.0,0.9997649620685616,1599.6239393096985
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800125,2025-06-28 03:03:47,784b6c29489777bea070fcb7f52ac5e23788510ba199945e2075b2189305af99,5463682fd1a1f8ef0cd27c0d75edbce7ba785e599e8ad703a1a0dc95435fa926,236,672,,0xBf6D2A1e5C16bBcd455a9100684a10cee204fC0c,0xBf6D2A1e5C16bBcd455a9100684a10cee204fC0c,300000000000,,0xef2c308b5abecf5c8750a1aa82b47c558005feb7a03f4f8e1ad682d71ac8d0ba,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,USDC,mF-ONE,6,300000.0,0.9997649620685616,299929.4886205685
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800161,2025-06-28 03:10:59,bcc98efb194af8eb2739314da83c47f1664e05faa1503d2a03c13a0c6be38a52,7a47e0171dd4987723c182f62955756aab83d406509c1d05f59732b4e13d3f52,77,214,,0x41352664336AAD31E6Bf5aC4f1970F9C28c2CD71,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,7590000,,0x7aae9136d142aa7ec2a3ad155fb42489ed7ed93a74c589eb1643916ae19f0833,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0x90455bd11Ce8a67C57d467e634Dc142b8e4105Aa,USDC,cUSDOUSDC,6,7.59,0.9997649620685616,7.588216062100383
ethereum,Borrow,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800236,2025-06-28 03:26:11,a4ddc775a686357a5dc150c4df68b6fde57b90e8f065e652e49a4bb4d0b3f47c,79d3b41cc160d83bcef6a060bd5dcd9e60108ace02453e25ad40029e0ef894eb,83,239,,0x47163AD3c13a280c1Da8F5A90BbEA9eEAc75E252,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,10043309992320113423568,,0x140fe48783fe88d2a52b31705577d917628caaf74ff79865b39d4c2aa6c2fd3c,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,0x90D2af7d622ca3141efA4d8f1F24d86E5974Cc8F,USDe,eUSDe,18,10043.309992320113,0.9994122168584848,10037.406704021616
