chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,repayer,caller,assets,shares,market_id
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800033,2025-06-28 02:45:23,ec8332e98c1daf4f1c0f026fe91b626434738ee228eb8b623da8ef760079ab62,5caffe858438452af6cb88785dd3eb9f571c8ca02943208e77ee0b3fce9fac3f,100,380,,0xF276d10B388E00B8A04b1362f66c6E2aad8a1960,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,50000000000000000000,48513106197836247084361568,0x2287407f0f42ad5ad224f70e4d9da37f02770f79959df703d6cfee8afc548e0d
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800127,2025-06-28 03:04:11,9bec1949916eaf9d0d1861285d0107ca5805e44afdb3443221ed58e4826ad407,62c4ca186544b27307fdab67a3c6bb46fe56f203da44e0da5666392cbfccd623,39,71,,0xCDc0ebA2a2093567E3404F5D683eA4Fb4Cd498F0,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,16344019148133354100021,16110367834725960617628367203,0xb81eaed0df42ff6646c8daf4fe38afab93b13b6a89c9750d08e705223a45e2ef
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800129,2025-06-28 03:04:35,0f51b10ac2e1584e23664477d24abd93198674870e89986ed2a6692d03a3488a,90a57d84ef2fc9cd1d4ed45a3d1f139a57f4ca11581ccfe3b0f9f675edef6225,90,271,,0xF276d10B388E00B8A04b1362f66c6E2aad8a1960,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,70000292722728446044,68377317865869568989388922,0xba761af4134efb0855adfba638945f454f0a704af11fc93439e20c7c5ebab942
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800140,2025-06-28 03:06:47,2ca117344791d2026aa03d7894c4a40116c68ee3cfaa41d8c0bc75a9f507fa3b,94b90d7f00e52e296b08308950c179bc7060c103d452893ac7d498385a77181e,61,222,,0xccDB3dd16f8E9349AFD0C3FF52A4e8e7491C9019,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,116667693226880477526370,111436858753106671385222878951,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800141,2025-06-28 03:06:59,b2163234fd6e308bae0df6deb785549766a4f6fe8c688c31ff0665f90b1adf31,3bead427813a26f8cdb14ba5ebd43f8a8a22baac4c83ac8039afc578549f3652,11,86,,0xCDc0ebA2a2093567E3404F5D683eA4Fb4Cd498F0,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,7938227582374537073880,7824741582724781369671077938,0xb81eaed0df42ff6646c8daf4fe38afab93b13b6a89c9750d08e705223a45e2ef
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800284,2025-06-28 03:35:47,eb65d44d2556974f5fcc0c42ca0062371cabf473f357e29e97190bc220df45ab,2d5e592fc8adc5a230c3eeaf4957d35444c6dbb24bcbcb141b301636828ad063,87,313,,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,9990017389855612526,9736393316141179558952960,0x3f1d5c88c72432b04f2074499fe217468af49ddaa98bcb6ec80b08f76a82c6ec
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800295,2025-06-28 03:37:59,35b92103f2ac42a5a26ef19101df01d836852e6fd84a6edc3dc09f1b3828579d,3ec156ee11951253e9a185364963968457bffbe737fe07bccf6a373d3f3299d5,20,88,,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,11986399538563043576,11897431049108762178617344,0xef9f1e3e71483c9c9b61d2e27452e26507e52b547775ca899277b35585ef7b01
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800302,2025-06-28 03:39:23,16f973483b8da27e45747be63ad8a1d9529c50dc149234f1ca39af4287d9c5ab,869f8e42e1793279bca04c5784d59978a3178a1faece7e8c9da93e69a90de859,100,179,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,2786266221613382452036,2661326460784317667506466278,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800322,2025-06-28 03:43:23,ad22251a07dd8ab9e8d5420c9eea29da89a228cc4b064234444805efddd2c082,d4d513ad626ab3c06479b895108475f70fda773ee11d3a0bbadf413e392adb48,46,86,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,3413276797445749047052,3260218583972834557589243795,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800330,2025-06-28 03:44:59,5b2eea0df94d65bd95acdd15ce4c77f78403131afb63f93c3ec38d6c2c1fa326,deb9c7f64e98b04ff7486ae881445948cbf24a65eb8f7dde47fedd46ebfddc30,73,194,,0x46Fb48C358D50241606772C3AcA8516F90cd0978,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,4182286908346050536240,3994743510142390856870054943,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8
