chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,repayer,caller,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
base,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000041,2025-01-13 17:30:29,7241f0fa1e5f959d724825a87ad0a9ec6af65951e70f9a7a4c28c67d4d1742a4,2b7107ed767d58ec6e1ba8880c20530e3ea6d030293ee951fe21f60fea97813f,67,162,,0x23B83c2821D1E9Fe5C40cE3c014D2420F2f1eEB7,0x23055618898e202386e6c13955a58D3C68200BFB,3307944788,3252890494073484,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,3307.944788,0.99984180004272,3307.421471275854
base,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000305,2025-01-13 17:39:17,b2c473cc9bf15bf2dba879f7d574d1b1ff607b10d3c052f379894b48ede57c7c,16c88c83b74360265154a8f72066b66f18a341b734290ad1d678c07dc9626b54,90,205,,0x3eFEc9925973AFe87CBFE219DFE31fbBA4266369,0x23055618898e202386e6c13955a58D3C68200BFB,6010792051,5910747331913896,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,6010.792051,0.99984180004272,6009.841143954313
base,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000357,2025-01-13 17:41:01,9e3c997e5dd2d75b5f06ed36c480300e25ed1fcf602ac1a03d6409a18308da38,ca989a35987dc6f0d779aaa9d2d80b257cbfd5e9cc6a66e8331d63af0550bd4b,68,153,,0xfE38848cc80Fb8837969ccB77c7eE6873Ccf69FE,0x23055618898e202386e6c13955a58D3C68200BFB,501941207,492167384446184,0x9103c3b4e834476c9a62ea009ba2c884ee42e94e6e314a26f04d312434191836,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,cbBTC,6,501.941207,0.99984180004272,501.86179992249555
base,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000964,2025-01-13 18:01:15,223b006a6d5e3b4b47de53ccffa4865b2eddd05ebf90ab4c12c13517bd152d7d,89d902c489a0bb2167552df390fa4ceffd76b0f83f022ffd705a813d163bb416,110,319,,0x34Ee2E826d3c6701DF3B081D84c282C11C5eB4Fc,0x34Ee2E826d3c6701DF3B081D84c282C11C5eB4Fc,60008100000,58323660178190097,0x8793cf302b8ffd655ab97bd1c695dbd967807e8367a65cb2f4edaf1380ba1bda,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x4200000000000000000000000000000000000006,USDC,WETH,6,60008.1,0.99984180004272,59998.60672114355
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800033,2025-06-28 02:45:23,ec8332e98c1daf4f1c0f026fe91b626434738ee228eb8b623da8ef760079ab62,5caffe858438452af6cb88785dd3eb9f571c8ca02943208e77ee0b3fce9fac3f,100,380,,0xF276d10B388E00B8A04b1362f66c6E2aad8a1960,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,50000000000000000000,48513106197836247084361568,0x2287407f0f42ad5ad224f70e4d9da37f02770f79959df703d6cfee8afc548e0d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7122985656e38BDC0302Db86685bb972b145bD3C,WETH,STONE,18,50.0,1790.8610979237435,89543.05489618717
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800127,2025-06-28 03:04:11,9bec1949916eaf9d0d1861285d0107ca5805e44afdb3443221ed58e4826ad407,62c4ca186544b27307fdab67a3c6bb46fe56f203da44e0da5666392cbfccd623,39,71,,0xCDc0ebA2a2093567E3404F5D683eA4Fb4Cd498F0,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,16344019148133354100021,16110367834725960617628367203,0xb81eaed0df42ff6646c8daf4fe38afab93b13b6a89c9750d08e705223a45e2ef,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,DAI,PT-sUSDE-31JUL2025,18,16344.019148133355,0.9998387039923518,16341.382923095834
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800129,2025-06-28 03:04:35,0f51b10ac2e1584e23664477d24abd93198674870e89986ed2a6692d03a3488a,90a57d84ef2fc9cd1d4ed45a3d1f139a57f4ca11581ccfe3b0f9f675edef6225,90,271,,0xF276d10B388E00B8A04b1362f66c6E2aad8a1960,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,70000292722728446044,68377317865869568989388922,0xba761af4134efb0855adfba638945f454f0a704af11fc93439e20c7c5ebab942,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,WETH,rsETH,18,70.00029272272845,1790.8610979237435,125360.8010804089
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800140,2025-06-28 03:06:47,2ca117344791d2026aa03d7894c4a40116c68ee3cfaa41d8c0bc75a9f507fa3b,94b90d7f00e52e296b08308950c179bc7060c103d452893ac7d498385a77181e,61,222,,0xccDB3dd16f8E9349AFD0C3FF52A4e8e7491C9019,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,116667693226880477526370,111436858753106671385222878951,0x6894e287c615cf987993975d4ede5c30e469e4bc901ff8d0f4fd67eb8189f2a8,0xC4441c2BE5d8fA8126822B9929CA0b81Ea0DE38E,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUAL,USUALX,18,116667.69322688048,0.0104004000787264,1213.390685821675
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800141,2025-06-28 03:06:59,b2163234fd6e308bae0df6deb785549766a4f6fe8c688c31ff0665f90b1adf31,3bead427813a26f8cdb14ba5ebd43f8a8a22baac4c83ac8039afc578549f3652,11,86,,0xCDc0ebA2a2093567E3404F5D683eA4Fb4Cd498F0,0x4A6c312ec70E8747a587EE860a0353cd42Be0aE0,7938227582374537073880,7824741582724781369671077938,0xb81eaed0df42ff6646c8daf4fe38afab93b13b6a89c9750d08e705223a45e2ef,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x3b3fB9C57858EF816833dC91565EFcd85D96f634,DAI,PT-sUSDE-31JUL2025,18,7938.227582374537,0.9998387039923518,7936.947177957696
ethereum,Repay,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,22800284,2025-06-28 03:35:47,eb65d44d2556974f5fcc0c42ca0062371cabf473f357e29e97190bc220df45ab,2d5e592fc8adc5a230c3eeaf4957d35444c6dbb24bcbcb141b301636828ad063,87,313,,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,0xBa135B26f42801181A72650203Cc77d5eEABbD0f,9990017389855612526,9736393316141179558952960,0x3f1d5c88c72432b04f2074499fe217468af49ddaa98bcb6ec80b08f76a82c6ec,0xdC035D45d973E3EC169d2276DDab16f1e407384F,0xaaeE1A9723aaDB7afA2810263653A34bA2C21C7a,USDS,Mog,18,9.990017389855613,0.9996916167098236,9.98693663542401
