chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,supplier,caller,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets,price_usd,amount_usd
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000015,2025-01-13 17:29:37,31722376983be2d11ec2af0bfda178cf268f9d27463e8cb8ac0ef21b51126f7b,06600543325dcfd6c4e9f45285aaa1a0f46ed66fffd78b42a54731a882016e79,128,361,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,490127770550,490127770550000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,490127.77055,1.1599080347053472,568503.1390931639
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000015,2025-01-13 17:29:37,31722376983be2d11ec2af0bfda178cf268f9d27463e8cb8ac0ef21b51126f7b,06600543325dcfd6c4e9f45285aaa1a0f46ed66fffd78b42a54731a882016e79,128,371,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,519806033055,512023130275076684,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,519806.033055,0.99984180004272,519723.7997627768
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000020,2025-01-13 17:29:47,e61aa2ccb71eb64bff8d7728bde3aa94b57a15586e7a7efd121449a15db08699,0be8a56cd39519dff6e4ff91330042926c2359de6bfe68bb04739f4f452c5f1b,179,698,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,489177058785,489177058785000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,489177.058785,1.1599080347053472,567400.4008782514
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000020,2025-01-13 17:29:47,e61aa2ccb71eb64bff8d7728bde3aa94b57a15586e7a7efd121449a15db08699,0be8a56cd39519dff6e4ff91330042926c2359de6bfe68bb04739f4f452c5f1b,179,708,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,470285290924,463243839873187450,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,470285.290924,0.99984180004272,470210.8918110664
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000034,2025-01-13 17:30:15,b1d4d1982efda89c7221081c73b5e197187265b936808793ddff0b7668562b85,5690f97431febe9297835b27fbbefb11e79468dc17d18014f7a7fbe8dcc94d94,125,278,,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,189261758149,186281434501824365,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,189261.758149,0.99984180004272,189231.8169469461
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000065,2025-01-13 17:31:17,2e5002eac177111850e6ee4929b8262dded2279702169ceaacdf029119c7e968,19296ece953c16903f458b5d906408079bd6f65ece96b46c112c22a09505b037,120,307,,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,0x12AFDeFb2237a5963e7BAb3e2D46ad0eee70406e,847462,834116854280,0x45f3b5688e7ba25071f78d1ce51d1b893faa3c86897b12204cdff3af6b3611f8,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,USDC,mBASIS,6,0.847462,0.99984180004272,0.8473279315478036
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000137,2025-01-13 17:33:41,2750e1bbf55ed36fb232fed072834370aec1f1d905780845c23056144e207545,0eca88acc889c7fb0451aa93002ae0e635cd69adb5b936bacf2e359595b05fba,103,289,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,488988733817,488988733817000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,488988.733817,1.1599080347053472,567181.9612347326
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000137,2025-01-13 17:33:41,2750e1bbf55ed36fb232fed072834370aec1f1d905780845c23056144e207545,0eca88acc889c7fb0451aa93002ae0e635cd69adb5b936bacf2e359595b05fba,103,299,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,439254850085,432677837710683608,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,439254.850085,0.99984180004272,439185.35998648155
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000221,2025-01-13 17:36:29,68bff17107d386bc37075f43a21495158f1813a7a06587ca1d5e82e677f3c4e8,962fba617863a6129212e5ef7d9cd35ba247e0a13b3dd2154d275aa028d05ad5,118,231,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,82879431250,81638444822029084,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,82879.43125,0.99984180004272,82866.31972751686
base,Supply,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000224,2025-01-13 17:36:35,6c87b95cd6bfd1c43951c7f1cb19c48eadfd9f252cc985ef5a93907f9a30851a,1918f9ca332b4fb7d2b8389e77efaa1a003c71b28a44356dd38aa6192b84d445,172,942,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,486010606805,486010606805000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,486010.606805,1.1599080347053472,563727.6077851407
