chain,token_address,symbol,name,decimals
base,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,weETH,Wrapped eETH,18
base,0x1C2757c1FeF1038428b5bEF062495ce94BBe92b2,mBASIS,Midas Basis Trading Token,18
base,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,cbETH,,18
base,0x4200000000000000000000000000000000000006,WETH,Wrapped Ether,18
base,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,EURC,,6
base,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,USDC,USD Coin,6
base,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,bsdETH,,18
base,0xCfA3Ef56d303AE4fAabA0592388F19d7C3399FB4,eUSD,Electronic Dollar,18
base,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,cbBTC,,8
ethereum,0x0022228a2cc5E7eF0274A7Baa600d44da5aB5776,stUSD,Staked USDA,18
ethereum,0x030b69280892c888670EDCDCD8B69Fd8026A0BF3,mMEV,Midas MEV,18
ethereum,0x06B964d96f5dCF7Eae9d7C559B09EDCe244d4B8E,USUALX,USUALX,18
ethereum,0x09D4214C03D01F49544C0448DBE3A27f768F2b34,rUSD,Reservoir Stablecoin,18
ethereum,0x1132065009850C72E27B7950C0f9285d1D103589,PT-mMEV-31JUL2025,PT Midas MEV 31JUL2025,6
ethereum,0x1202F5C7b4B9E47a1A484E8B270be34dbbC75055,wstUSR,Wrapped stUSR,18
ethereum,0x14Bdc3A3AE09f5518b923b69489CBcAfB238e617,PT-eUSDE-14AUG2025,PT Ethereal eUSDE 14AUG2025,18
ethereum,0x19Ebd191f7A24ECE672ba13A302212b5eF7F35cb,yUSD,YieldFi yUSD,18
ethereum,0x1d08E7adC263CfC70b1BaBe6dC5Bb339c16Eec52,USD0USD0++,USD0/USD0++,18
ethereum,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,Uniswap,18
ethereum,0x207F7205fd6c4b602Fa792C8b2B60e6006D4a0b8,PT-lvlUSD-25SEP2025,PT Level USD 25SEP2025,18
ethereum,0x21aacE56a8F21210b7E76d8eF1a77253Db85BF0a,PT-fxSAVE-30OCT2025,PT f(x) USD Saving 30OCT2025,18
ethereum,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,Wrapped BTC,8
ethereum,0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,mF-ONE,Midas Fasanara ONE,18
ethereum,0x23E60d1488525bf4685f53b3aa8E676c30321066,PT-wstUSR-25SEP2025,PT Wrapped stUSR 25SEP2025,18
ethereum,0x2CA5f2C4300450D53214B00546795c1c07B89acB,PT-slvlUSD-25SEP2025,PT Staked lvlUSD 25SEP2025,18
ethereum,0x386AE941D4262B0Ee96354499dF2ab8442734EC0,PT-sUSDE-27FEB2025,PT Ethena sUSDE 27FEB2025,18
