chain,event,address,block_number,block_timestamp,block_hash,transaction_hash,transaction_index,log_index,transaction_log_index,on_behalf,caller,receiver,assets,shares,market_id,loan_token,collateral_token,loan_symbol,collateral_symbol,loan_decimals,normalized_assets
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000015,2025-01-13 17:29:37,31722376983be2d11ec2af0bfda178cf268f9d27463e8cb8ac0ef21b51126f7b,06600543325dcfd6c4e9f45285aaa1a0f46ed66fffd78b42a54731a882016e79,128,314,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,490460511997,490460511997000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,490460.511997
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000015,2025-01-13 17:29:37,31722376983be2d11ec2af0bfda178cf268f9d27463e8cb8ac0ef21b51126f7b,06600543325dcfd6c4e9f45285aaa1a0f46ed66fffd78b42a54731a882016e79,128,326,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,520631725590,512836459958710291,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,520631.72559
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000020,2025-01-13 17:29:47,e61aa2ccb71eb64bff8d7728bde3aa94b57a15586e7a7efd121449a15db08699,0be8a56cd39519dff6e4ff91330042926c2359de6bfe68bb04739f4f452c5f1b,179,650,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,490127775207,490127775207000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,490127.775207
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000020,2025-01-13 17:29:47,e61aa2ccb71eb64bff8d7728bde3aa94b57a15586e7a7efd121449a15db08699,0be8a56cd39519dff6e4ff91330042926c2359de6bfe68bb04739f4f452c5f1b,179,662,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,519806041413,512023129918288205,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,519806.041413
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000048,2025-01-13 17:30:43,491f6b97f1afcf600511258f66cc1684bd89ba164f44b2fe06e8a4292291618c,eed8d2e64cb8d70a8a8b5f38c5912fef4921b65d873f15c8daba98c181323347,38,50,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,16394668660,16149194310087009,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,16394.66866
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000088,2025-01-13 17:32:03,a80bb29568bab47add77c02eeccefb1407b67818ea2c6f7c62e813dfcddd027f,cc96bed9890ad8ee946f3aa42efb4b27f7558094be0c23e9ecb1ae44ab8534b1,116,508,,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,11000000,11000000000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,11.0
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000088,2025-01-13 17:32:03,a80bb29568bab47add77c02eeccefb1407b67818ea2c6f7c62e813dfcddd027f,cc96bed9890ad8ee946f3aa42efb4b27f7558094be0c23e9ecb1ae44ab8534b1,116,516,,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,398342069,392377713476791,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,398.342069
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000112,2025-01-13 17:32:51,e92231b0ea745c50e321a531964e8a598dd23a7376a8d9c8fb86f893216487ad,c8fae7b1278e0e1cc8d7d10d27b92cde2b834b0ca36220030bdb6f5334351c1f,97,191,,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,544460511,544460511000000,0x38c846197ac32a752a60c25d4536ebb0c3920c532e9a859c38c91efb7b8c2abb,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x0000000000000000000000000000000000000000,USDC,,6,544.460511
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000137,2025-01-13 17:33:41,2750e1bbf55ed36fb232fed072834370aec1f1d905780845c23056144e207545,0eca88acc889c7fb0451aa93002ae0e635cd69adb5b936bacf2e359595b05fba,103,241,,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,489177167573,489177167573000000,0x5a99a8103b9d467c1b8e829e5bb3e41bca6eca4c443abc09911a19b71c598a13,0x60a3E35Cc302bFA44Cb288Bc5a4F316Fdb1adb42,0x0000000000000000000000000000000000000000,EURC,,6,489177.167573
base,Withdraw,0xBBBBBbbBBb9cC5e90e3b3Af64bdAF62C37EEFFCb,25000137,2025-01-13 17:33:41,2750e1bbf55ed36fb232fed072834370aec1f1d905780845c23056144e207545,0eca88acc889c7fb0451aa93002ae0e635cd69adb5b936bacf2e359595b05fba,103,253,,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,0x23479229e52Ab6aaD312D0B03DF9F33B46753B5e,470285468987,463243831658715185,0x1c21c59df9db44bf6f645d854ee710a8ca17b479451447e9f56758aee10a2fad,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,USDC,cbETH,6,470285.468987
